Quelle;Kategorie;Eingabe_Rohbegriff;Zielbegriff_Normalisiert
mappings.py;ANTIMIKROBIELL_GT_MAPPING;Silber (Ag⁺);Silber (Ag+)
mappings.py;ANTIMIKROBIELL_GT_MAPPING;Silber (Ag+);Silber (Ag+)
mappings.py;ANTIMIKROBIELL_GT_MAPPING;PHMB;PHMB
mappings.py;ANTIMIKROBIELL_GT_MAPPING;Octenidin;Octenidin
mappings.py;ANTIMIKROBIELL_GT_MAPPING;Cadexomer-Iod;Cadexomer-Iod
mappings.py;ANTIMIKROBIELL_GT_MAPPING;Honig (Medihoney);Honig (Medihoney)
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände);Autolytisch (Hydrogele, Hydrokolloide, Folienverbände)
mappings.py;DEBRIDEMENT_GT_MAPPING;Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung);Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung)
mappings.py;DEBRIDEMENT_GT_MAPPING;Chirurgisch/Scharf (Skalpell, Kürette);Chirurgisch/Scharf (Skalpell, Kürette)
mappings.py;DEBRIDEMENT_GT_MAPPING;Enzymatisch (Kollagenase);Enzymatisch (Kollagenase)
mappings.py;DEBRIDEMENT_GT_MAPPING;Kein Débridement erforderlich;Kein Débridement erforderlich
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), vorsichtige mechanische Reinigung lockerer Beläge;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung)
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), vorsichtig mechanisches Debridement;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung)
mappings.py;DEBRIDEMENT_GT_MAPPING;vorsichtig mechanisches Debridement;Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung)
mappings.py;DEBRIDEMENT_GT_MAPPING;vorsichtige mechanische Reinigung lockerer Beläge;Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung)
mappings.py;DEBRIDEMENT_GT_MAPPING;nicht aggressiv entfernen, solange keine Revaskularisation erfolgt ist, Chirurgisch/Scharf (Skalpell, Kürette);Chirurgisch/Scharf (Skalpell, Kürette)
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), chirurgisches Debridement erst nach Perfusionsverbesserung, sofern möglich;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Chirurgisch/Scharf (Skalpell, Kürette)
mappings.py;DEBRIDEMENT_GT_MAPPING;chirurgisches Debridement erst nach Perfusionsverbesserung, sofern möglich;Chirurgisch/Scharf (Skalpell, Kürette)
mappings.py;DEBRIDEMENT_GT_MAPPING;Chirurgisch/Scharf (Skalpell, Kürette), autolytisches Debridement, enzymatisches Debridement - ergänzend;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Chirurgisch/Scharf (Skalpell, Kürette), Enzymatisch (Kollagenase)
mappings.py;DEBRIDEMENT_GT_MAPPING;autolytisches Debridement, enzymatisches Debridement - ergänzend;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Enzymatisch (Kollagenase)
mappings.py;DEBRIDEMENT_GT_MAPPING;konservatives Abwarten bei unklarer Demarkation, selektives chirurgisches Débridement, enzymatisch/autolytisch ergänzend;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Chirurgisch/Scharf (Skalpell, Kürette), Enzymatisch (Kollagenase)
mappings.py;DEBRIDEMENT_GT_MAPPING;kein aggressives Debridement ohne Gefäßstatus, trockene stabile Nekrosen ggf. belassen, Bei infizierten/fibrinösen Belägen: zurückhaltendes scharfes Debridement, autolytische Verfahren möglich;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Chirurgisch/Scharf (Skalpell, Kürette)
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Folienverbände), Hydrokolloide;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände)
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Folienverbände), Hydrokolloide, Mechanisch (Monofilament-Pad, Wundspülung), feuchte Kompressen;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung)
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Chirurgisch/Scharf (Skalpell, Folienverbände), Hydrokolloide, Kürette), Mechanisch (Monofilament-Pad, Wundspülung), feuchte Kompressen;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung), Chirurgisch/Scharf (Skalpell, Kürette)
mappings.py;DEBRIDEMENT_GT_MAPPING;Chirurgisch/Scharf (Skalpell, Kürette), Mechanisch (Monofilament-Pad, Wundspülung), feuchte Kompressen;Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung), Chirurgisch/Scharf (Skalpell, Kürette)
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Chirurgisch/Scharf (Skalpell, Kürette), Enzymatisch;Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Chirurgisch/Scharf (Skalpell, Kürette), Enzymatisch (Kollagenase)
mappings.py;DEBRIDEMENT_GT_MAPPING;Mechanisch (Monofilament-Pad, Wundspülung), feuchte Kompressen;Mechanisch (Monofilament-Pad, feuchte Kompressen, Wundspülung)
mappings.py;DEBRIDEMENT_GT_MAPPING;Autolytisch (Hydrogele, Chirurgisch/Scharf (Skalpell, Folienverbände), Hydrokolloide, Kürette);Autolytisch (Hydrogele, Hydrokolloide, Folienverbände), Chirurgisch/Scharf (Skalpell, Kürette)
mappings.py;EXSUDAT_GT_MAPPING;Annahme stark;Stark
mappings.py;EXSUDAT_GT_MAPPING;"Große Wunde: stark, da Mazerationen am Wundrand
Kleine Nekrose: trocken";Stark
mappings.py;EXSUDAT_GT_MAPPING;Keine;Keine
mappings.py;EXSUDAT_GT_MAPPING;Leicht;Leicht
mappings.py;EXSUDAT_GT_MAPPING;Mässig;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;Mäßig;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;Nekrosen: kein Exsudat. Unterschenkel mäßig;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;Stark;Stark
mappings.py;EXSUDAT_GT_MAPPING;blutig bis serös teilweise vorhanden dann eher mäßig;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;eher schwach b is mäßig;Leicht, Mäßig
mappings.py;EXSUDAT_GT_MAPPING;eher wenig;Leicht
mappings.py;EXSUDAT_GT_MAPPING;eher weniger;Leicht
mappings.py;EXSUDAT_GT_MAPPING;gering bis gar nicht;Keine, Leicht
mappings.py;EXSUDAT_GT_MAPPING;kein;Keine
mappings.py;EXSUDAT_GT_MAPPING;keine;Keine
mappings.py;EXSUDAT_GT_MAPPING;keine Angabe möglich;Enthaltung / keine Angabe
mappings.py;EXSUDAT_GT_MAPPING;keine Angabe möglich / eher wenig;Leicht
mappings.py;EXSUDAT_GT_MAPPING;keine Angabe möglich / vermutlich mässig;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;keine Angabe möglich / vermutlich wenig;Leicht
mappings.py;EXSUDAT_GT_MAPPING;keine Angabe möglich, vermutlich gering;Leicht
mappings.py;EXSUDAT_GT_MAPPING;keine Angabe möglich, vermutlich trocken;Keine
mappings.py;EXSUDAT_GT_MAPPING;keine Einschätzung möglich;Enthaltung / keine Angabe
mappings.py;EXSUDAT_GT_MAPPING;keine genaue Angabe möglich, sieht eher trocken bis leicht exsudierend aus;Keine, Leicht
mappings.py;EXSUDAT_GT_MAPPING;könnte eher schwach sein;Leicht
mappings.py;EXSUDAT_GT_MAPPING;leicht;Leicht
mappings.py;EXSUDAT_GT_MAPPING;leicht bis mittel;Leicht, Mäßig
mappings.py;EXSUDAT_GT_MAPPING;leicht bis mäßig;Leicht, Mäßig
mappings.py;EXSUDAT_GT_MAPPING;leichte bis mäßige exsudation;Leicht, Mäßig
mappings.py;EXSUDAT_GT_MAPPING;mittel;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;mittel bis stark;Mäßig, Stark
mappings.py;EXSUDAT_GT_MAPPING;mittelstark;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;mäfig;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;mäßig;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;mäßig bis stark;Mäßig, Stark
mappings.py;EXSUDAT_GT_MAPPING;mäßig bis stark, sicher ist eine Geruchsbildung süßlich aromatisch teilweise beschrieben als traubenartig;Mäßig, Stark
mappings.py;EXSUDAT_GT_MAPPING;nicht beurteilbar;Enthaltung / keine Angabe
mappings.py;EXSUDAT_GT_MAPPING;nicht beurteilbar, vermutlich stark;Stark
mappings.py;EXSUDAT_GT_MAPPING;nicht genau definierbar, aus der Erfahrung heraus mäßige Exsudation;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;nicht klar, eher trübe Wunde könnte Geruch abgeben;Enthaltung / keine Angabe
mappings.py;EXSUDAT_GT_MAPPING;nicht zu beschreiben;Enthaltung / keine Angabe
mappings.py;EXSUDAT_GT_MAPPING;offenen stelle mäßig, geschlossene stelle kein bis wenig exsudat;Keine, Leicht
mappings.py;EXSUDAT_GT_MAPPING;scheint mäßig zu sein;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;schwach;Leicht
mappings.py;EXSUDAT_GT_MAPPING;schwach bin mäßig;Leicht, Mäßig
mappings.py;EXSUDAT_GT_MAPPING;schwach bis mäßig;Leicht, Mäßig
mappings.py;EXSUDAT_GT_MAPPING;schwach bis nicht vorhanden;Keine, Leicht
mappings.py;EXSUDAT_GT_MAPPING;sehr gering;Leicht
mappings.py;EXSUDAT_GT_MAPPING;stark;Stark
mappings.py;EXSUDAT_GT_MAPPING;vermutlich gering;Leicht
mappings.py;EXSUDAT_GT_MAPPING;vermutlich hoch;Stark
mappings.py;EXSUDAT_GT_MAPPING;vermutlich hohe Exsudation;Stark
mappings.py;EXSUDAT_GT_MAPPING;vermutlich kaum;Keine
mappings.py;EXSUDAT_GT_MAPPING;vermutlich mittel;Mäßig
mappings.py;EXSUDAT_GT_MAPPING;vermutlich mittelmässig;Mäßig
